Аттан түшүп Жакып бай , Акылдашты жайма-жай . ||| Бай Джакып сошел с коня , не торопясь , стал советоваться о том , о другом .
Катыксын — деп — баламды » — Кан Җакыптын талабы . ||| Пусть возмужает мое дитя » , — желание хана Джакыпа таково .
Җашырып айтып Жакып бай , Кайтты үйүнө жайма-жай . ||| Все это в тайне сказав , Бай Джакып спокойно вернулся домой .
Кандай кылат єөзүн ук Кадыр алда бир кудай . ||| Послушай сказ о том , что предопределил всемогущий аллах , единосущный бог .
« Чеге бала-чором — деп , — Җеке менин жором — деп , — Җүр козуга баралы , Җүдөтпөй малды багалы » . ||| « Мальчик Чеге — мой чоро , — он сказал , — товарищ единственный мой , давай к ягнятам пойдем , будем их пасти , чтоб не отощали они » .
Козусун айдап кобурап , Тоону көздөй жобурап , Баланын сөзүн сөздөшүп , Бара жатыр бул экөө Бадалдуу тоону көздөшүп . ||| Переговариваясь меж собой , они гнали ягнят , беседуя , направились к горе , свой ребячий вели разговор , оба шли к покрытой кустарником горе .
Карышкыр — деп , — бөрү — деп , Кабарын мурда укпаган , Җашы жеткен тогузга , Карыш үйдөн чыкпаган . ||| Про того , кто прозывается волком , — о таком и не слыхивал , которому исполнилось девять лет , который даже ни на пядь от дома не отъезжал .
Көзүн Манас салганы , Баса калып козунун Көтүн жулуп алганы . ||| Взглянул Манас : ягненка придавил , отхватил у него курдюк .
Кыңк этпегин дегеле . ||| Не надо кричать , перестань !
Бара жаткан балага Бөрү көзүн салганы . ||| На мальчика , что бежал , волк посмотрел .
Кайрат кылды күркүрөп , Кайра качты Чегебай , Кара бою дүркүрөп . ||| Злобно он зарычал — Чегебай пустился назад , всем телом трясясь .
Көтөрүп алып козуну Качып карышкыр кеткени . ||| Ягненка закинув , тот волк пустился прочь .
Җетип барып караса : Аттары бар канаттуу , Адамдан башка санаттуу , Аргымак , бедөө минишкен , Аземдүү тонду кийишкен Бир үңкүрдө кырк киши , Бир өтөктө жык киши . ||| Когда он подошел и посмотрел , то в одной пещере сорок человек , все ущелье полно людей , крылатые кони у них , необычные это были люди , ездили на аргамаках-скакунах , роскошные одежды на них .
Баягы турган кырк адам Балага көзүн салганы . ||| Те самые сорок человек на ребенка устремили взор .
Карап турсуң коюңду , Бизди кимге өлчөйсүң оюңда ? ||| Ты же сам видишь ягненка своего , а вот теперь , за кого принимаешь нас ?
Казатка кудай чыгарган Кайратың турат боюңда . ||| Для сражений богом ты сотворен , чувствуется в тебе мощь .
Коркпой сөздү тыңда — деп , — Козуң турат мында » — деп , Балага сөздү салганы . ||| Не бойся , выслушай слова , ягненок твой здесь стоит » , — мальчику сказали они .
